		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  241  272  256  245  260  251  275  241  9.282016 0.319067 SUCCESS  76
100101000  244  243  230  253  266  259  237  253  4.697938 0.789319 SUCCESS  77
100110000  235  258  241  217  252  273  235  271 11.534866 0.173194 SUCCESS  78
100111000  251  262  253  242  249  246  244  233  2.546769 0.959514 SUCCESS  79
101000000  250  231  231  250  236  232  253  261  4.194834 0.839131 SUCCESS  80
101000100  228  235  208  266  269  255  230  245 12.981689 0.112481 SUCCESS  81
101001000  264  248  244  260  242  228  249  243  4.031722 0.854250 SUCCESS  82
101001100  268  272  232  262  248  246  215  269 13.977306 0.082359 SUCCESS  83
101010000  247  213  245  243  256  264  250  259  7.502614 0.483497 SUCCESS  84
101010100  269  251  244  244  223  236  252  234  5.689319 0.681987 SUCCESS  85
101011000  243  218  238  271  250  237  231  248  7.270657 0.507732 SUCCESS  86
101011100  248  245  268  236  236  243  265  244  4.892825 0.768967 SUCCESS  87
101100000  239  238  263  271  256  253  235  242  6.142643 0.631257 SUCCESS  88
101100100  254  239  234  220  238  227  247  231  5.590817 0.692959 SUCCESS  89
101101000  248  268  248  254  218  226  236  231  8.248268 0.409602 SUCCESS  90
101101100  246  227  243  242  235  220  247  218  7.027048 0.533717 SUCCESS  91
101110000  252  254  244  245  241  264  243  240  2.471568 0.963044 SUCCESS  92
101110100  233  216  248  259  230  246  217  263 10.363426 0.240439 SUCCESS  93
101111000  250  263  247  257  238  207  253  233  9.249182 0.321713 SUCCESS  94
101111100  240  246  241  264  253  248  276  223  8.394433 0.395919 SUCCESS  95
110000000  245  243  261  238  251  229  245  256  3.144139 0.924989 SUCCESS  96
110000010  223  238  215  258  249  236  249  233  7.464484 0.487444 SUCCESS  97
110000100  223  256  247  255  258  232  261  257  6.371423 0.605702 SUCCESS  98
110001000  237  252  233  236  260  232  242  245  2.994797 0.934684 SUCCESS  99
110001010  288  253  232  232  275  229  237  228 16.059630 0.041535 SUCCESS 100
110010000  232  262  244  245  271  226  279  238 11.743522 0.163019 SUCCESS 101
110010010  269  254  233  249  237  248  253  261  5.478545 0.705416 SUCCESS 102
110010100  240  240  247  242  261  259  236  234  3.056228 0.930779 SUCCESS 103
110011000  226  268  233  229  244  276  266  258 12.447868 0.132312 SUCCESS 104
110011010  240  240  234  254  217  204  232  261 12.759263 0.120405 SUCCESS 105
110100000  278  264  210  236  199  218  245  254 23.683519 0.002589 FAILURE 106
110100010  237  220  197  241  232  255  220  232 16.343487 0.037719 SUCCESS 107
110100100  238  261  251  279  263  250  243  258  9.195164 0.326101 SUCCESS 108
110101000  264  215  252  240  282  267  273  276 21.733591 0.005434 FAILURE 109
110101010  274  235  267  236  233  244  241  235  7.549218 0.478693 SUCCESS 110
110101100  238  237  241  256  246  241  223  242  2.978909 0.935674 SUCCESS 111
110110000  211  255  255  224  284  248  275  248 18.269054 0.019297 SUCCESS 112
110110010  244  232  232  235  227  208  238  225 10.078510 0.259559 SUCCESS 113
110110100  259  256  270  266  248  232  221  235  9.703565 0.286451 SUCCESS 114
110111000  244  248  241  205  242  288  234  271 18.259521 0.019363 SUCCESS 115
110111010  227  239  259  260  243  243  243  261  4.581430 0.801232 SUCCESS 116
110111100  265  248  261  237  236  219  284  238 13.180812 0.105778 SUCCESS 117
111000000  214  247  246  229  232  259  240  241  6.537712 0.587228 SUCCESS 118
111000010  271  248  241  265  246  231  252  264  7.692205 0.464099 SUCCESS 119
111000100  233  281  246  224  266  256  259  249 11.678912 0.166115 SUCCESS 120
111000110  232  251  258  258  238  263  232  242  4.764666 0.782407 SUCCESS 121
111001000  232  245  228  227  248  256  269  231  6.982563 0.538515 SUCCESS 122
